,hour,week,all,cncf,graduated,incubating,sandbox,kubernetes,tikv
138,18,6,1564.5218579234972,34.13661202185792,22.806010928961747,12.489071038251366,15.513661202185792,9.155737704918034,1.9234972677595628
139,19,6,1447.9426229508197,30.838797814207652,20.530054644808743,11.092896174863387,14.002732240437158,8.229508196721312,1.855191256830601
140,20,6,1304.120218579235,28.39344262295082,17.47814207650273,10.199453551912569,13.78415300546448,6.581967213114754,1.150273224043716
141,21,6,1202.9754098360656,28.715846994535518,18.23224043715847,9.830601092896174,14.450819672131148,7.109289617486339,1.2513661202185793
142,22,6,1133.6857923497269,26.502732240437158,17.084699453551913,9.923497267759563,13.789617486338798,6.401639344262295,1.2240437158469946
143,23,6,1006.1010928961749,23.91256830601093,16.040983606557376,8.852459016393443,12.434426229508198,5.546448087431694,1.2759562841530054
144,0,7,866.6967213114754,19.792349726775956,13.587431693989071,7.366120218579235,11.073770491803279,5.131147540983607,1.0081967213114753
145,1,7,725.4098360655738,16.546448087431695,11.349726775956285,6.439890710382514,8.994535519125684,3.6748633879781423,0.7978142076502732
146,2,7,699.1612021857924,14.169398907103826,10.997267759562842,6.5136612021857925,8.297814207650273,2.237704918032787,0.4781420765027322
147,3,7,774.2868852459017,12.748633879781421,9.191256830601093,6.1256830601092895,7.948087431693989,1.8333333333333333,0.4371584699453552
148,4,7,866.139344262295,13.931693989071038,10.158469945355192,6.601092896174864,8.28688524590164,2.598360655737705,0.38524590163934425
149,5,7,971.5956284153006,13.401639344262295,10.336065573770492,6.087431693989071,7.972677595628415,2.5765027322404372,0.43169398907103823
150,6,7,1096.6311475409836,15.519125683060109,12.172131147540984,6.912568306010929,8.833333333333334,3.010928961748634,0.3743169398907104
151,7,7,1198.360655737705,16.937158469945356,11.912568306010929,7.377049180327869,8.78415300546448,3.2131147540983607,0.5683060109289617
152,8,7,1304.3142076502731,21.15573770491803,14.325136612021858,8.6448087431694,10.448087431693988,3.871584699453552,0.5081967213114754
153,9,7,1435.74043715847,29.19945355191257,18.80327868852459,11.237704918032787,13.76775956284153,6.1502732240437155,1.0901639344262295
